,NFL Team,W,L,T,PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Pct.1,Non-Conf,Strk,Last 5,year
12,Minnesota VikingsVikings,7,7,0,0.5,383.0,403.0,-20.0,2 - 5 - 0,5 - 2 - 0,5 - 7 - 0,0.417,7 - 7 - 0,0.5,0 - 0 - 0,2W,2 - 3 - 0,1965
13,New York GiantsGiants,7,7,0,0.5,270.0,338.0,-68.0,3 - 4 - 0,4 - 3 - 0,7 - 5 - 0,0.583,7 - 7 - 0,0.5,0 - 0 - 0,1L,3 - 2 - 0,1965
14,San Francisco 49ers49ers,7,6,1,0.538,421.0,402.0,19.0,4 - 2 - 1,3 - 4 - 0,6 - 5 - 1,0.545,7 - 6 - 1,0.538,0 - 0 - 0,1T,3 - 1 - 1,1965
15,Las Vegas RaidersRaiders,8,5,1,0.615,298.0,239.0,59.0,5 - 2 - 0,3 - 3 - 1,3 - 3 - 0,0.5,8 - 5 - 1,0.615,0 - 0 - 0,1L,3 - 2 - 0,1965
16,Chicago BearsBears,9,5,0,0.643,409.0,275.0,134.0,5 - 2 - 0,4 - 3 - 0,7 - 5 - 0,0.583,9 - 5 - 0,0.643,0 - 0 - 0,1L,4 - 1 - 0,1965
17,Los Angeles ChargersChargers,9,2,3,0.818,340.0,227.0,113.0,4 - 1 - 2,5 - 1 - 1,4 - 1 - 1,0.8,9 - 2 - 3,0.818,0 - 0 - 0,3W,3 - 1 - 1,1965
18,Buffalo BillsBills,10,3,1,0.769,313.0,226.0,87.0,5 - 2 - 0,5 - 1 - 1,4 - 2 - 0,0.667,10 - 3 - 1,0.769,0 - 0 - 0,1L,3 - 1 - 1,1965
19,Green Bay PackersPackers,10,3,1,0.769,316.0,224.0,92.0,6 - 1 - 0,4 - 2 - 1,8 - 3 - 1,0.727,10 - 3 - 1,0.769,0 - 0 - 0,1T,3 - 1 - 1,1965
20,Indianapolis ColtsColts,10,3,1,0.769,389.0,284.0,105.0,5 - 2 - 0,5 - 1 - 1,8 - 3 - 1,0.727,10 - 3 - 1,0.769,0 - 0 - 0,1W,2 - 2 - 1,1965
21,Cleveland BrownsBrowns,11,3,0,0.786,363.0,325.0,38.0,5 - 2 - 0,6 - 1 - 0,11 - 1 - 0,0.917,11 - 3 - 0,0.786,0 - 0 - 0,1W,4 - 1 - 0,1965
0,New York GiantsGiants,1,12,1,0.077,263.0,501.0,-238.0,1 - 6 - 0,0 - 6 - 1,1 - 11 - 1,0.083,1 - 12 - 1,0.077,0 - 0 - 0,8L,0 - 5 - 0,1966
1,Atlanta FalconsFalcons,3,11,0,0.214,204.0,437.0,-233.0,1 - 6 - 0,2 - 5 - 0,2 - 5 - 0,0.286,3 - 11 - 0,0.214,0 - 0 - 0,1L,3 - 2 - 0,1966
2,Miami DolphinsDolphins,3,11,0,0.214,213.0,362.0,-149.0,2 - 5 - 0,1 - 6 - 0,2 - 5 - 0,0.286,3 - 11 - 0,0.214,0 - 0 - 0,1W,1 - 4 - 0,1966
3,Tennessee TitansOilers,3,11,0,0.214,335.0,396.0,-61.0,3 - 4 - 0,0 - 7 - 0,1 - 7 - 0,0.125,3 - 11 - 0,0.214,0 - 0 - 0,8L,0 - 5 - 0,1966
4,Denver BroncosBroncos,4,10,0,0.286,196.0,381.0,-185.0,3 - 4 - 0,1 - 6 - 0,1 - 5 - 0,0.167,4 - 10 - 0,0.286,0 - 0 - 0,2L,2 - 3 - 0,1966
5,Detroit LionsLions,4,9,1,0.308,206.0,317.0,-111.0,3 - 4 - 0,1 - 5 - 1,3 - 8 - 1,0.273,4 - 9 - 1,0.308,0 - 0 - 0,3L,2 - 3 - 0,1966
6,Minnesota VikingsVikings,4,9,1,0.308,292.0,304.0,-12.0,2 - 5 - 0,2 - 4 - 1,4 - 7 - 1,0.364,4 - 9 - 1,0.308,0 - 0 - 0,1L,1 - 4 - 0,1966
7,Chicago BearsBears,5,7,2,0.417,234.0,272.0,-38.0,4 - 1 - 2,1 - 6 - 0,4 - 6 - 2,0.4,5 - 7 - 2,0.417,0 - 0 - 0,1W,2 - 3 - 0,1966
8,Pittsburgh SteelersSteelers,5,8,1,0.385,316.0,347.0,-31.0,3 - 3 - 1,2 - 5 - 0,4 - 8 - 1,0.333,5 - 8 - 1,0.385,0 - 0 - 0,2W,2 - 3 - 0,1966
9,New York JetsJets,6,6,2,0.5,322.0,312.0,10.0,4 - 3 - 0,2 - 3 - 2,4 - 3 - 1,0.571,6 - 6 - 2,0.5,0 - 0 - 0,1W,2 - 2 - 1,1966
10,San Francisco 49ers49ers,6,6,2,0.5,320.0,325.0,-5.0,4 - 2 - 1,2 - 4 - 1,5 - 5 - 2,0.5,6 - 6 - 2,0.5,0 - 0 - 0,1L,2 - 3 - 0,1966
11,Los Angeles ChargersChargers,7,6,1,0.538,335.0,284.0,51.0,5 - 2 - 0,2 - 4 - 1,2 - 4 - 0,0.333,7 - 6 - 1,0.538,0 - 0 - 0,1L,2 - 3 - 0,1966
12,Washington CommandersRedskins,7,7,0,0.5,351.0,355.0,-4.0,4 - 3 - 0,3 - 4 - 0,7 - 6 - 0,0.538,7 - 7 - 0,0.5,0 - 0 - 0,1L,2 - 3 - 0,1966
13,Arizona CardinalsCardinals,8,5,1,0.615,264.0,265.0,-1.0,5 - 1 - 1,3 - 4 - 0,7 - 5 - 1,0.583,8 - 5 - 1,0.615,0 - 0 - 0,3L,1 - 4 - 0,1966
14,Las Vegas RaidersRaiders,8,5,1,0.615,315.0,288.0,27.0,3 - 3 - 1,5 - 2 - 0,4 - 2 - 0,0.667,8 - 5 - 1,0.615,0 - 0 - 0,1W,3 - 1 - 1,1966
15,Los Angeles RamsRams,8,6,0,0.571,289.0,212.0,77.0,5 - 2 - 0,3 - 4 - 0,6 - 6 - 0,0.5,8 - 6 - 0,0.571,0 - 0 - 0,1L,4 - 1 - 0,1966
16,New England PatriotsPatriots,8,4,2,0.667,315.0,283.0,32.0,4 - 2 - 1,4 - 2 - 1,5 - 1 - 1,0.833,8 - 4 - 2,0.667,0 - 0 - 0,1L,3 - 1 - 1,1966
17,Buffalo BillsBills,9,4,1,0.692,358.0,255.0,103.0,4 - 2 - 1,5 - 2 - 0,6 - 2 - 0,0.75,9 - 4 - 1,0.692,0 - 0 - 0,1W,4 - 1 - 0,1966
18,Cleveland BrownsBrowns,9,5,0,0.643,403.0,259.0,144.0,5 - 2 - 0,4 - 3 - 0,9 - 4 - 0,0.692,9 - 5 - 0,0.643,0 - 0 - 0,1W,3 - 2 - 0,1966
19,Indianapolis ColtsColts,9,5,0,0.643,314.0,226.0,88.0,5 - 2 - 0,4 - 3 - 0,7 - 5 - 0,0.583,9 - 5 - 0,0.643,0 - 0 - 0,1W,2 - 3 - 0,1966
20,Philadelphia EaglesEagles,9,5,0,0.643,326.0,340.0,-14.0,5 - 2 - 0,4 - 3 - 0,8 - 5 - 0,0.615,9 - 5 - 0,0.643,0 - 0 - 0,4W,4 - 1 - 0,1966
21,Dallas CowboysCowboys,10,3,1,0.769,445.0,239.0,206.0,6 - 1 - 0,4 - 2 - 1,9 - 3 - 1,0.75,10 - 3 - 1,0.769,0 - 0 - 0,1W,4 - 1 - 0,1966
22,Kansas City ChiefsChiefs,11,2,1,0.846,448.0,276.0,172.0,4 - 2 - 1,7 - 0 - 0,5 - 1 - 0,0.833,11 - 2 - 1,0.846,0 - 0 - 0,3W,4 - 0 - 1,1966
23,Green Bay PackersPackers,12,2,0,0.857,335.0,163.0,172.0,6 - 1 - 0,6 - 1 - 0,10 - 2 - 0,0.833,12 - 2 - 0,0.857,0 - 0 - 0,5W,5 - 0 - 0,1966
0,Atlanta FalconsFalcons,1,12,1,0.077,175.0,422.0,-247.0,1 - 5 - 1,0 - 7 - 0,0 - 6 - 0,0.0,1 - 12 - 1,0.077,0 - 0 - 0,7L,0 - 5 - 0,1967
1,Denver BroncosBroncos,3,11,0,0.214,256.0,409.0,-153.0,1 - 6 - 0,2 - 5 - 0,0 - 6 - 0,0.0,3 - 11 - 0,0.214,0 - 0 - 0,1L,2 - 3 - 0,1967
2,Minnesota VikingsVikings,3,8,3,0.273,233.0,294.0,-61.0,1 - 4 - 2,2 - 4 - 1,1 - 3 - 2,0.25,3 - 8 - 3,0.273,0 - 0 - 0,1L,1 - 3 - 1,1967
3,New England PatriotsPatriots,3,10,1,0.231,280.0,389.0,-109.0,2 - 4 - 0,1 - 6 - 1,3 - 5 - 0,0.375,3 - 10 - 1,0.231,0 - 0 - 0,5L,0 - 5 - 0,1967
4,New Orleans SaintsSaints,3,11,0,0.214,233.0,379.0,-146.0,2 - 5 - 0,1 - 6 - 0,2 - 4 - 0,0.333,3 - 11 - 0,0.214,0 - 0 - 0,1W,2 - 3 - 0,1967
5,Buffalo BillsBills,4,10,0,0.286,237.0,285.0,-48.0,2 - 5 - 0,2 - 5 - 0,3 - 5 - 0,0.375,4 - 10 - 0,0.286,0 - 0 - 0,1L,1 - 4 - 0,1967
6,Miami DolphinsDolphins,4,10,0,0.286,219.0,407.0,-188.0,4 - 3 - 0,0 - 7 - 0,2 - 6 - 0,0.25,4 - 10 - 0,0.286,0 - 0 - 0,1L,3 - 2 - 0,1967
7,Pittsburgh SteelersSteelers,4,9,1,0.308,281.0,320.0,-39.0,1 - 6 - 0,3 - 3 - 1,0 - 5 - 1,0.0,4 - 9 - 1,0.308,0 - 0 - 0,1W,2 - 3 - 0,1967
8,Detroit LionsLions,5,7,2,0.417,260.0,259.0,1.0,3 - 4 - 0,2 - 3 - 2,1 - 3 - 2,0.25,5 - 7 - 2,0.417,0 - 0 - 0,2W,2 - 3 - 0,1967
9,Washington CommandersRedskins,5,6,3,0.455,347.0,353.0,-6.0,2 - 4 - 1,3 - 2 - 2,2 - 3 - 1,0.4,5 - 6 - 3,0.455,0 - 0 - 0,1L,2 - 2 - 1,1967
10,Arizona CardinalsCardinals,6,7,1,0.462,333.0,356.0,-23.0,3 - 3 - 1,3 - 4 - 0,1 - 4 - 1,0.2,6 - 7 - 1,0.462,0 - 0 - 0,2L,1 - 4 - 0,1967
11,Philadelphia EaglesEagles,6,7,1,0.462,351.0,409.0,-58.0,5 - 2 - 0,1 - 5 - 1,3 - 2 - 1,0.6,6 - 7 - 1,0.462,0 - 0 - 0,1W,2 - 2 - 1,1967
12,Chicago BearsBears,7,6,1,0.538,239.0,218.0,21.0,3 - 3 - 1,4 - 3 - 0,3 - 2 - 1,0.6,7 - 6 - 1,0.538,0 - 0 - 0,1W,3 - 1 - 1,1967
13,New York GiantsGiants,7,7,0,0.5,369.0,379.0,-10.0,5 - 2 - 0,2 - 5 - 0,5 - 1 - 0,0.833,7 - 7 - 0,0.5,0 - 0 - 0,1W,3 - 2 - 0,1967
14,San Francisco 49ers49ers,7,7,0,0.5,273.0,337.0,-64.0,3 - 4 - 0,4 - 3 - 0,3 - 3 - 0,0.5,7 - 7 - 0,0.5,0 - 0 - 0,2W,2 - 3 - 0,1967
15,Los Angeles ChargersChargers,8,5,1,0.615,360.0,352.0,8.0,5 - 2 - 1,3 - 3 - 0,4 - 2 - 0,0.667,8 - 5 - 1,0.615,0 - 0 - 0,4L,1 - 4 - 0,1967
16,New York JetsJets,8,5,1,0.615,371.0,329.0,42.0,4 - 2 - 1,4 - 3 - 0,5 - 1 - 1,0.833,8 - 5 - 1,0.615,0 - 0 - 0,1W,2 - 3 - 0,1967
17,Cleveland BrownsBrowns,9,5,0,0.643,334.0,297.0,37.0,6 - 1 - 0,3 - 4 - 0,5 - 1 - 0,0.833,9 - 5 - 0,0.643,0 - 0 - 0,1L,4 - 1 - 0,1967
18,Dallas CowboysCowboys,9,5,0,0.643,342.0,268.0,74.0,5 - 2 - 0,4 - 3 - 0,4 - 2 - 0,0.667,9 - 5 - 0,0.643,0 - 0 - 0,1L,2 - 3 - 0,1967
19,Green Bay PackersPackers,9,4,1,0.692,332.0,209.0,123.0,4 - 2 - 1,5 - 2 - 0,4 - 1 - 1,0.8,9 - 4 - 1,0.692,0 - 0 - 0,2L,3 - 2 - 0,1967
20,Kansas City ChiefsChiefs,9,5,0,0.643,408.0,254.0,154.0,4 - 3 - 0,5 - 2 - 0,2 - 4 - 0,0.333,9 - 5 - 0,0.643,0 - 0 - 0,3W,3 - 2 - 0,1967
21,Tennessee TitansOilers,9,4,1,0.692,258.0,199.0,59.0,5 - 2 - 0,4 - 2 - 1,5 - 1 - 1,0.833,9 - 4 - 1,0.692,0 - 0 - 0,2W,4 - 1 - 0,1967
22,Indianapolis ColtsColts,11,1,2,0.917,394.0,198.0,196.0,6 - 0 - 1,5 - 1 - 1,4 - 1 - 1,0.8,11 - 1 - 2,0.917,0 - 0 - 0,1L,4 - 1 - 0,1967
23,Los Angeles RamsRams,11,1,2,0.917,398.0,196.0,202.0,5 - 1 - 1,6 - 0 - 1,4 - 1 - 1,0.8,11 - 1 - 2,0.917,0 - 0 - 0,8W,5 - 0 - 0,1967
24,Las Vegas RaidersRaiders,13,1,0,0.929,468.0,233.0,235.0,7 - 0 - 0,6 - 1 - 0,6 - 0 - 0,1.0,13 - 1 - 0,0.929,0 - 0 - 0,10W,5 - 0 - 0,1967
0,Buffalo BillsBills,1,12,1,0.077,199.0,367.0,-168.0,1 - 6 - 0,0 - 6 - 1,1 - 6 - 1,0.143,1 - 12 - 1,0.077,0 - 0 - 0,8L,0 - 5 - 0,1968
1,Atlanta FalconsFalcons,2,12,0,0.143,170.0,389.0,-219.0,1 - 6 - 0,1 - 6 - 0,0 - 6 - 0,0.0,2 - 12 - 0,0.143,0 - 0 - 0,4L,1 - 4 - 0,1968
2,Philadelphia EaglesEagles,2,12,0,0.143,202.0,351.0,-149.0,1 - 6 - 0,1 - 6 - 0,0 - 6 - 0,0.0,2 - 12 - 0,0.143,0 - 0 - 0,1L,2 - 3 - 0,1968
3,Pittsburgh SteelersSteelers,2,11,1,0.154,244.0,397.0,-153.0,1 - 6 - 0,1 - 5 - 1,0 - 5 - 1,0.0,2 - 11 - 1,0.154,0 - 0 - 0,5L,0 - 5 - 0,1968
4,Cincinnati BengalsBengals,3,11,0,0.214,215.0,329.0,-114.0,2 - 5 - 0,1 - 6 - 0,1 - 7 - 0,0.125,3 - 11 - 0,0.214,0 - 0 - 0,3L,1 - 4 - 0,1968
5,Detroit LionsLions,4,8,2,0.333,207.0,241.0,-34.0,1 - 4 - 2,3 - 4 - 0,3 - 2 - 1,0.6,4 - 8 - 2,0.333,0 - 0 - 0,1L,1 - 3 - 1,1968
6,New England PatriotsPatriots,4,10,0,0.286,229.0,406.0,-177.0,2 - 5 - 0,2 - 5 - 0,2 - 6 - 0,0.25,4 - 10 - 0,0.286,0 - 0 - 0,2L,1 - 4 - 0,1968
7,New Orleans SaintsSaints,4,9,1,0.308,246.0,327.0,-81.0,3 - 4 - 0,1 - 5 - 1,2 - 4 - 0,0.333,4 - 9 - 1,0.308,0 - 0 - 0,1W,1 - 3 - 1,1968
8,Denver BroncosBroncos,5,9,0,0.357,255.0,404.0,-149.0,3 - 4 - 0,2 - 5 - 0,1 - 7 - 0,0.125,5 - 9 - 0,0.357,0 - 0 - 0,3L,1 - 4 - 0,1968
9,Miami DolphinsDolphins,5,8,1,0.385,276.0,355.0,-79.0,1 - 5 - 1,4 - 3 - 0,4 - 3 - 1,0.571,5 - 8 - 1,0.385,0 - 0 - 0,1L,2 - 3 - 0,1968
10,Washington CommandersRedskins,5,9,0,0.357,249.0,358.0,-109.0,3 - 4 - 0,2 - 5 - 0,2 - 4 - 0,0.333,5 - 9 - 0,0.357,0 - 0 - 0,1W,1 - 4 - 0,1968
11,Green Bay PackersPackers,6,7,1,0.462,281.0,227.0,54.0,2 - 5 - 0,4 - 2 - 1,1 - 4 - 1,0.2,6 - 7 - 1,0.462,0 - 0 - 0,1W,3 - 2 - 0,1968
12,Chicago BearsBears,7,7,0,0.5,250.0,333.0,-83.0,2 - 5 - 0,5 - 2 - 0,3 - 3 - 0,0.5,7 - 7 - 0,0.5,0 - 0 - 0,1L,2 - 3 - 0,1968
13,New York GiantsGiants,7,7,0,0.5,294.0,325.0,-31.0,3 - 4 - 0,4 - 3 - 0,5 - 1 - 0,0.833,7 - 7 - 0,0.5,0 - 0 - 0,4L,1 - 4 - 0,1968
14,San Francisco 49ers49ers,7,6,1,0.538,303.0,310.0,-7.0,3 - 3 - 1,4 - 3 - 0,2 - 3 - 1,0.4,7 - 6 - 1,0.538,0 - 0 - 0,1W,3 - 1 - 1,1968
15,Tennessee TitansOilers,7,7,0,0.5,303.0,248.0,55.0,3 - 4 - 0,4 - 3 - 0,5 - 3 - 0,0.625,7 - 7 - 0,0.5,0 - 0 - 0,2W,3 - 2 - 0,1968
16,Minnesota VikingsVikings,8,6,0,0.571,282.0,242.0,40.0,4 - 3 - 0,4 - 3 - 0,4 - 2 - 0,0.667,8 - 6 - 0,0.571,0 - 0 - 0,2W,3 - 2 - 0,1968
17,Arizona CardinalsCardinals,9,4,1,0.692,325.0,289.0,36.0,4 - 2 - 1,5 - 2 - 0,5 - 0 - 1,1.0,9 - 4 - 1,0.692,0 - 0 - 0,4W,4 - 1 - 0,1968
18,Los Angeles ChargersChargers,9,5,0,0.643,382.0,310.0,72.0,4 - 3 - 0,5 - 2 - 0,5 - 3 - 0,0.625,9 - 5 - 0,0.643,0 - 0 - 0,2L,2 - 3 - 0,1968
19,Cleveland BrownsBrowns,10,4,0,0.714,394.0,273.0,121.0,5 - 2 - 0,5 - 2 - 0,4 - 2 - 0,0.667,10 - 4 - 0,0.714,0 - 0 - 0,1L,4 - 1 - 0,1968
20,Los Angeles RamsRams,10,3,1,0.769,312.0,200.0,112.0,5 - 2 - 0,5 - 1 - 1,3 - 2 - 1,0.6,10 - 3 - 1,0.769,0 - 0 - 0,2L,2 - 2 - 1,1968
21,New York JetsJets,11,3,0,0.786,419.0,280.0,139.0,6 - 1 - 0,5 - 2 - 0,7 - 1 - 0,0.875,11 - 3 - 0,0.786,0 - 0 - 0,4W,4 - 1 - 0,1968
22,Dallas CowboysCowboys,12,2,0,0.857,431.0,186.0,245.0,5 - 2 - 0,7 - 0 - 0,5 - 1 - 0,0.833,12 - 2 - 0,0.857,0 - 0 - 0,5W,5 - 0 - 0,1968
23,Kansas City ChiefsChiefs,12,2,0,0.857,371.0,170.0,201.0,6 - 1 - 0,6 - 1 - 0,7 - 1 - 0,0.875,12 - 2 - 0,0.857,0 - 0 - 0,5W,5 - 0 - 0,1968
24,Las Vegas RaidersRaiders,12,2,0,0.857,453.0,233.0,220.0,6 - 1 - 0,6 - 1 - 0,6 - 2 - 0,0.75,12 - 2 - 0,0.857,0 - 0 - 0,8W,5 - 0 - 0,1968
25,Indianapolis ColtsColts,13,1,0,0.929,402.0,144.0,258.0,6 - 1 - 0,7 - 0 - 0,6 - 0 - 0,1.0,13 - 1 - 0,0.929,0 - 0 - 0,8W,5 - 0 - 0,1968
0,Chicago BearsBears,1,13,0,0.071,210.0,339.0,-129.0,1 - 6 - 0,0 - 7 - 0,0 - 6 - 0,0.0,1 - 13 - 0,0.071,0 - 0 - 0,6L,0 - 5 - 0,1969
1,Pittsburgh SteelersSteelers,1,13,0,0.071,218.0,404.0,-186.0,1 - 6 - 0,0 - 7 - 0,0 - 6 - 0,0.0,1 - 13 - 0,0.071,0 - 0 - 0,13L,0 - 5 - 0,1969
2,Miami DolphinsDolphins,3,10,1,0.231,233.0,332.0,-99.0,2 - 4 - 1,1 - 6 - 0,2 - 6 - 0,0.25,3 - 10 - 1,0.231,0 - 0 - 0,1L,1 - 4 - 0,1969
3,Arizona CardinalsCardinals,4,9,1,0.308,314.0,389.0,-75.0,3 - 4 - 0,1 - 5 - 1,3 - 2 - 1,0.6,4 - 9 - 1,0.308,0 - 0 - 0,3L,1 - 4 - 0,1969
4,Buffalo BillsBills,4,10,0,0.286,230.0,359.0,-129.0,4 - 3 - 0,0 - 7 - 0,2 - 6 - 0,0.25,4 - 10 - 0,0.286,0 - 0 - 0,2L,2 - 3 - 0,1969
5,Cincinnati BengalsBengals,4,9,1,0.308,280.0,367.0,-87.0,4 - 3 - 0,0 - 6 - 1,3 - 5 - 0,0.375,4 - 9 - 1,0.308,0 - 0 - 0,5L,0 - 5 - 0,1969
6,New England PatriotsPatriots,4,10,0,0.286,266.0,316.0,-50.0,2 - 5 - 0,2 - 5 - 0,3 - 5 - 0,0.375,4 - 10 - 0,0.286,0 - 0 - 0,2L,3 - 2 - 0,1969
7,Philadelphia EaglesEagles,4,9,1,0.308,279.0,377.0,-98.0,2 - 5 - 0,2 - 4 - 1,1 - 4 - 1,0.2,4 - 9 - 1,0.308,0 - 0 - 0,4L,1 - 4 - 0,1969
8,San Francisco 49ers49ers,4,8,2,0.333,277.0,319.0,-42.0,3 - 3 - 1,1 - 5 - 1,2 - 4 - 0,0.333,4 - 8 - 2,0.333,0 - 0 - 0,1W,2 - 2 - 1,1969
9,Denver BroncosBroncos,5,8,1,0.385,297.0,344.0,-47.0,4 - 2 - 1,1 - 6 - 0,3 - 5 - 0,0.375,5 - 8 - 1,0.385,0 - 0 - 0,1W,1 - 3 - 1,1969
10,New Orleans SaintsSaints,5,9,0,0.357,311.0,393.0,-82.0,3 - 4 - 0,2 - 5 - 0,1 - 5 - 0,0.167,5 - 9 - 0,0.357,0 - 0 - 0,1W,3 - 2 - 0,1969
11,Atlanta FalconsFalcons,6,8,0,0.429,276.0,268.0,8.0,4 - 3 - 0,2 - 5 - 0,2 - 4 - 0,0.333,6 - 8 - 0,0.429,0 - 0 - 0,3W,3 - 2 - 0,1969
12,New York GiantsGiants,6,8,0,0.429,264.0,298.0,-34.0,5 - 2 - 0,1 - 6 - 0,4 - 2 - 0,0.667,6 - 8 - 0,0.429,0 - 0 - 0,3W,3 - 2 - 0,1969
13,Tennessee TitansOilers,6,6,2,0.5,278.0,279.0,-1.0,4 - 2 - 1,2 - 4 - 1,5 - 3 - 0,0.625,6 - 6 - 2,0.5,0 - 0 - 0,1W,2 - 2 - 1,1969
14,Washington CommandersRedskins,7,5,2,0.583,307.0,319.0,-12.0,4 - 2 - 1,3 - 3 - 1,3 - 2 - 1,0.6,7 - 5 - 2,0.583,0 - 0 - 0,1L,3 - 2 - 0,1969
15,Green Bay PackersPackers,8,6,0,0.571,269.0,221.0,48.0,5 - 2 - 0,3 - 4 - 0,3 - 3 - 0,0.5,8 - 6 - 0,0.571,0 - 0 - 0,2W,3 - 2 - 0,1969
16,Indianapolis ColtsColts,8,5,1,0.615,279.0,268.0,11.0,4 - 2 - 1,4 - 3 - 0,3 - 3 - 0,0.5,8 - 5 - 1,0.615,0 - 0 - 0,1W,3 - 1 - 1,1969
17,Los Angeles ChargersChargers,8,6,0,0.571,288.0,276.0,12.0,5 - 2 - 0,3 - 4 - 0,2 - 6 - 0,0.25,8 - 6 - 0,0.571,0 - 0 - 0,4W,4 - 1 - 0,1969
18,Detroit LionsLions,9,4,1,0.692,259.0,188.0,71.0,5 - 2 - 0,4 - 2 - 1,3 - 3 - 0,0.5,9 - 4 - 1,0.692,0 - 0 - 0,2W,3 - 1 - 1,1969
19,Cleveland BrownsBrowns,10,3,1,0.769,351.0,300.0,51.0,5 - 1 - 1,5 - 2 - 0,4 - 1 - 1,0.8,10 - 3 - 1,0.769,0 - 0 - 0,1L,4 - 1 - 0,1969
20,New York JetsJets,10,4,0,0.714,353.0,269.0,84.0,5 - 2 - 0,5 - 2 - 0,8 - 0 - 0,1.0,10 - 4 - 0,0.714,0 - 0 - 0,2W,3 - 2 - 0,1969
21,Dallas CowboysCowboys,11,2,1,0.846,369.0,223.0,146.0,6 - 0 - 1,5 - 2 - 0,6 - 0 - 0,1.0,11 - 2 - 1,0.846,0 - 0 - 0,3W,3 - 1 - 1,1969
22,Kansas City ChiefsChiefs,11,3,0,0.786,359.0,177.0,182.0,6 - 1 - 0,5 - 2 - 0,5 - 3 - 0,0.625,11 - 3 - 0,0.786,0 - 0 - 0,1L,3 - 2 - 0,1969
23,Los Angeles RamsRams,11,3,0,0.786,320.0,243.0,77.0,5 - 2 - 0,6 - 1 - 0,5 - 1 - 0,0.833,11 - 3 - 0,0.786,0 - 0 - 0,3L,2 - 3 - 0,1969
24,Las Vegas RaidersRaiders,12,1,1,0.923,377.0,242.0,135.0,7 - 0 - 0,5 - 1 - 1,7 - 1 - 0,0.875,12 - 1 - 1,0.923,0 - 0 - 0,6W,5 - 0 - 0,1969
25,Minnesota VikingsVikings,12,2,0,0.857,379.0,133.0,246.0,7 - 0 - 0,5 - 2 - 0,6 - 0 - 0,1.0,12 - 2 - 0,0.857,0 - 0 - 0,1L,4 - 1 - 0,1969
0,New England PatriotsPatriots,2,12,0,0.143,149.0,361.0,-212.0,1 - 6 - 0,1 - 6 - 0,2 - 6 - 0,0.25,2 - 9 - 0,0.182,0 - 3 - 0,3L,1 - 4 - 0,1970
1,New Orleans SaintsSaints,2,11,1,0.154,172.0,347.0,-175.0,2 - 5 - 0,0 - 6 - 1,0 - 5 - 1,0.0,2 - 8 - 1,0.2,0 - 3 - 0,6L,0 - 5 - 0,1970
2,Buffalo BillsBills,3,10,1,0.231,204.0,337.0,-133.0,1 - 6 - 0,2 - 4 - 1,3 - 4 - 1,0.429,3 - 7 - 1,0.3,0 - 3 - 0,5L,0 - 5 - 0,1970
3,Philadelphia EaglesEagles,3,10,1,0.231,241.0,332.0,-91.0,3 - 3 - 1,0 - 7 - 0,1 - 7 - 0,0.125,1 - 9 - 1,0.1,2 - 1 - 0,1W,2 - 3 - 0,1970
4,Tennessee TitansOilers,3,10,1,0.231,217.0,352.0,-135.0,1 - 6 - 0,2 - 4 - 1,2 - 4 - 0,0.333,3 - 7 - 1,0.3,0 - 3 - 0,3L,1 - 4 - 0,1970
5,Atlanta FalconsFalcons,4,8,2,0.333,206.0,261.0,-55.0,3 - 4 - 0,1 - 4 - 2,3 - 2 - 1,0.6,3 - 6 - 2,0.333,1 - 2 - 0,1L,1 - 4 - 0,1970
6,New York JetsJets,4,10,0,0.286,255.0,286.0,-31.0,2 - 5 - 0,2 - 5 - 0,2 - 6 - 0,0.25,2 - 9 - 0,0.182,2 - 1 - 0,3L,2 - 3 - 0,1970
7,Denver BroncosBroncos,5,8,1,0.385,253.0,264.0,-11.0,3 - 3 - 1,2 - 5 - 0,1 - 4 - 1,0.2,3 - 6 - 1,0.333,2 - 2 - 0,1L,1 - 3 - 1,1970
8,Los Angeles ChargersChargers,5,6,3,0.455,282.0,278.0,4.0,2 - 3 - 2,3 - 3 - 1,2 - 2 - 2,0.5,4 - 4 - 3,0.5,1 - 2 - 0,1W,1 - 3 - 1,1970
9,Pittsburgh SteelersSteelers,5,9,0,0.357,210.0,272.0,-62.0,4 - 3 - 0,1 - 6 - 0,3 - 3 - 0,0.5,5 - 6 - 0,0.455,0 - 3 - 0,3L,1 - 4 - 0,1970
10,Chicago BearsBears,6,8,0,0.429,256.0,261.0,-5.0,3 - 4 - 0,3 - 4 - 0,1 - 5 - 0,0.167,5 - 6 - 0,0.455,1 - 2 - 0,2W,3 - 2 - 0,1970
11,Green Bay PackersPackers,6,8,0,0.429,196.0,293.0,-97.0,4 - 3 - 0,2 - 5 - 0,2 - 4 - 0,0.333,4 - 7 - 0,0.364,2 - 1 - 0,2L,1 - 4 - 0,1970
12,Washington CommandersRedskins,6,8,0,0.429,297.0,314.0,-17.0,4 - 3 - 0,2 - 5 - 0,3 - 5 - 0,0.375,4 - 7 - 0,0.364,2 - 1 - 0,2W,2 - 3 - 0,1970
13,Cleveland BrownsBrowns,7,7,0,0.5,286.0,265.0,21.0,4 - 3 - 0,3 - 4 - 0,4 - 2 - 0,0.667,7 - 4 - 0,0.636,0 - 3 - 0,1W,3 - 2 - 0,1970
